trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1_平日_21時00分_系統51111,21:04:00,21:04:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_21時00分_系統51111,21:05:00,21:05:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_21時00分_系統51111,21:12:00,21:12:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_21時30分_系統51111,21:30:00,21:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_21時30分_系統51111,21:31:00,21:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_21時30分_系統51111,21:32:00,21:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_21時30分_系統51111,21:33:00,21:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_21時30分_系統51111,21:33:00,21:33:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_21時30分_系統51111,21:34:00,21:34:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_21時30分_系統51111,21:35:00,21:35:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_21時30分_系統51111,21:42:00,21:42:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_22時00分_系統51111,22:00:00,22:00:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_22時00分_系統51111,22:01:00,22:01:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_22時00分_系統51111,22:02:00,22:02:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_22時00分_系統51111,22:03:00,22:03:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_22時00分_系統51111,22:03:00,22:03:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_22時00分_系統51111,22:04:00,22:04:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_22時00分_系統51111,22:05:00,22:05:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_22時00分_系統51111,22:10:00,22:10:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_土日祝_08時30分_系統51111,8:30:00,8:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_土日祝_08時30分_系統51111,8:31:00,8:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_土日祝_08時30分_系統51111,8:32:00,8:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_土日祝_08時30分_系統51111,8:33:00,8:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
